"Date Time","Date Time(RAW)","Total","Total(RAW)","Processor 1","Processor 1(RAW)","Processor 2","Processor 2(RAW)","Processor 3","Processor 3(RAW)","Processor 4","Processor 4(RAW)","Processor 5","Processor 5(RAW)","Processor 6","Processor 6(RAW)","Processor 7","Processor 7(RAW)","Processor 8","Processor 8(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"12/1/2023 12:30:00 AM - 1:30:00 AM","45260.8333333333","6.25 %","6.2500","13 %","13.1667","","0.0833","38 %","37.5833","0 %","0.0000","1 %","1.0833","0 %","0.0000","0 %","0.0000","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 1:30:00 AM - 2:30:00 AM","45260.8750000000","6.25 %","6.2500","13 %","13.1667","","0.2500","37 %","37.2500","0 %","0.0000","1 %","1.0000","0 %","0.0000","0 %","0.0000","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 2:30:00 AM - 3:30:00 AM","45260.9166666667","6.33 %","6.3333","13 %","13.1667","","0.3333","37 %","37.3333","0 %","0.0000","1 %","1.0000","0 %","0.0000","0 %","0.0000","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 3:30:00 AM - 4:30:00 AM","45260.9583333333","6.25 %","6.2500","13 %","12.9167","","0.2500","38 %","37.9167","0 %","0.0000","","0.9167","0 %","0.0000","0 %","0.0000","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 4:30:00 AM - 5:30:00 AM","45261.0000000000","6.50 %","6.5000","13 %","13.2500","","0.4167","38 %","37.6667","0 %","0.0000","","0.9167","0 %","0.0000","0 %","0.0000","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 5:30:00 AM - 6:30:00 AM","45261.0416666667","6.08 %","6.0833","13 %","13.1667","","0.1667","37 %","37.2500","0 %","0.0000","","0.8333","0 %","0.0000","0 %","0.0000","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 6:30:00 AM - 7:30:00 AM","45261.0833333333","6.25 %","6.2500","13 %","12.5833","","0.2500","38 %","37.9167","0 %","0.0000","1 %","1.0000","0 %","0.0000","0 %","0.0000","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 7:30:00 AM - 8:30:00 AM","45261.1250000000","6.25 %","6.2500","13 %","12.9167","","0.1667","38 %","38.1667","0 %","0.0000","1 %","1.0000","0 %","0.0000","0 %","0.0000","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 8:30:00 AM - 9:30:00 AM","45261.1666666667","6.33 %","6.3333","13 %","12.8333","","0.2500","38 %","37.9167","0 %","0.0000","","0.9167","0 %","0.0000","0 %","0.0000","0 %","0.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 9:30:00 AM - 10:30:00 AM","45261.2083333333","6.33 %","6.3333","13 %","13.0833","","0.1667","38 %","38.0000","0 %","0.0000","1 %","1.0833","0 %","0.0000","0 %","0.0000","0 %","0.0000","0 %","0.0000","100 %","0000010000"
