"Date Time","Date Time(RAW)","Total","Total(RAW)","Free Bytes C:","Free Bytes C:(RAW)","Free Space C:","Free Space C:(RAW)","Free Bytes E:","Free Bytes E:(RAW)","Free Space E:","Free Space E:(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"12/1/2023 12:30:00 AM - 1:30:00 AM","45260.8333333333","137,233 MB","143898814464.0000","38,831 MB","40716969984.0000","55 %","55.0000","98,402 MB","103181844480.0000","96 %","96.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 1:30:00 AM - 2:30:00 AM","45260.8750000000","137,196 MB","143860131157.3333","38,794 MB","40678286677.3333","55 %","55.0000","98,402 MB","103181844480.0000","96 %","96.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 2:30:00 AM - 3:30:00 AM","45260.9166666667","137,161 MB","143823905450.6667","38,759 MB","40642060970.6667","54 %","54.3333","98,402 MB","103181844480.0000","96 %","96.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 3:30:00 AM - 4:30:00 AM","45260.9583333333","137,123 MB","143784296448.0000","38,722 MB","40602451968.0000","54 %","54.0000","98,402 MB","103181844480.0000","96 %","96.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 4:30:00 AM - 5:30:00 AM","45261.0000000000","137,083 MB","143741854378.6667","38,681 MB","40560009898.6667","54 %","54.0000","98,402 MB","103181844480.0000","96 %","96.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 5:30:00 AM - 6:30:00 AM","45261.0416666667","137,041 MB","143698219008.0000","38,639 MB","40516374528.0000","54 %","54.0000","98,402 MB","103181844480.0000","96 %","96.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 6:30:00 AM - 7:30:00 AM","45261.0833333333","137,001 MB","143655814485.3333","38,599 MB","40473970005.3333","54 %","54.0000","98,402 MB","103181844480.0000","96 %","96.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 7:30:00 AM - 8:30:00 AM","45261.1250000000","136,967 MB","143620225024.0000","38,565 MB","40438380544.0000","54 %","54.0000","98,402 MB","103181844480.0000","96 %","96.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 8:30:00 AM - 9:30:00 AM","45261.1666666667","136,936 MB","143588017493.3333","38,534 MB","40406173013.3333","54 %","54.0000","98,402 MB","103181844480.0000","96 %","96.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 9:30:00 AM - 10:30:00 AM","45261.2083333333","136,900 MB","143549554688.0000","38,498 MB","40367710208.0000","54 %","54.0000","98,402 MB","103181844480.0000","96 %","96.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 10:30:00 AM - 11:30:00 AM","45261.2500000000","136,863 MB","143511013376.0000","38,461 MB","40329168896.0000","54 %","54.0000","98,402 MB","103181844480.0000","96 %","96.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 11:30:00 AM - 12:30:00 PM","45261.2916666667","136,825 MB","143471907498.6667","38,424 MB","40290063018.6667","54 %","54.0000","98,402 MB","103181844480.0000","96 %","96.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 12:30:00 PM - 1:30:00 PM","45261.3333333333","136,788 MB","143432707413.3333","38,386 MB","40250862933.3333","54 %","54.0000","98,402 MB","103181844480.0000","96 %","96.0000","0 %","0.0000","100 %","0000010000"
