"Date Time","Date Time(RAW)","Percent Available Memory","Percent Available Memory(RAW)","Available Memory","Available Memory(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"12/1/2023 12:30:00 AM - 1:30:00 AM","45260.8333333333","55 %","55.0000","4,512 MB","4730880682.6667","0 %","0.0000","100 %","0000010000"
"12/1/2023 1:30:00 AM - 2:30:00 AM","45260.8750000000","55 %","55.0000","4,511 MB","4730040320.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 2:30:00 AM - 3:30:00 AM","45260.9166666667","55 %","55.0000","4,509 MB","4728297062.4000","0 %","0.0000","100 %","0000010000"
"12/1/2023 3:30:00 AM - 4:30:00 AM","45260.9583333333","55 %","55.0000","4,494 MB","4712302299.4286","0 %","0.0000","100 %","0000010000"
"12/1/2023 4:30:00 AM - 5:30:00 AM","45261.0000000000","55 %","55.0000","4,510 MB","4728999253.3333","0 %","0.0000","100 %","0000010000"
"12/1/2023 5:30:00 AM - 6:30:00 AM","45261.0416666667","55 %","55.0000","4,505 MB","4723461324.8000","0 %","0.0000","100 %","0000010000"
"12/1/2023 6:30:00 AM - 7:30:00 AM","45261.0833333333","55 %","55.0000","4,500 MB","4718759936.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 7:30:00 AM - 8:30:00 AM","45261.1250000000","56 %","55.5000","4,541 MB","4762041002.6667","0 %","0.0000","100 %","0000010000"
"12/1/2023 8:30:00 AM - 9:30:00 AM","45261.1666666667","57 %","57.0000","4,648 MB","4873713664.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 9:30:00 AM - 10:30:00 AM","45261.2083333333","56 %","56.5000","4,622 MB","4846208341.3333","0 %","0.0000","100 %","0000010000"
"12/1/2023 10:30:00 AM - 11:30:00 AM","45261.2500000000","56 %","56.3333","4,610 MB","4833878698.6667","0 %","0.0000","100 %","0000010000"
"12/1/2023 11:30:00 AM - 12:30:00 PM","45261.2916666667","57 %","57.0000","4,637 MB","4862366378.6667","0 %","0.0000","100 %","0000010000"
"12/1/2023 12:30:00 PM - 1:30:00 PM","45261.3333333333","57 %","56.6667","4,638 MB","4863358293.3333","0 %","0.0000","100 %","0000010000"
"12/1/2023 1:30:00 PM - 2:30:00 PM","45261.3750000000","56 %","56.5000","4,621 MB","4845045760.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 2:30:00 PM - 3:30:00 PM","45261.4166666667","56 %","56.5000","4,627 MB","4851847850.6667","0 %","0.0000","100 %","0000010000"
"12/1/2023 3:30:00 PM - 4:30:00 PM","45261.4583333333","59 %","59.0000","4,817 MB","5051370837.3333","0 %","0.0000","100 %","0000010000"
"12/1/2023 4:30:00 PM - 5:30:00 PM","45261.5000000000","59 %","59.0000","4,811 MB","5044733952.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 5:30:00 PM - 6:30:00 PM","45261.5416666667","59 %","58.6667","4,812 MB","5045620736.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 6:30:00 PM - 7:30:00 PM","45261.5833333333","59 %","58.8333","4,829 MB","5063213738.6667","0 %","0.0000","100 %","0000010000"
"12/1/2023 7:30:00 PM - 8:30:00 PM","45261.6250000000","59 %","58.8000","4,841 MB","5076529971.2000","0 %","0.0000","100 %","0000010000"
"12/1/2023 8:30:00 PM - 9:30:00 PM","45261.6666666667","57 %","56.8333","4,659 MB","4885753173.3333","0 %","0.0000","100 %","0000010000"
"12/1/2023 9:30:00 PM - 10:30:00 PM","45261.7083333333","54 %","53.6667","4,398 MB","4612003840.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 10:30:00 PM - 11:30:00 PM","45261.7500000000","51 %","50.8333","4,170 MB","4372801536.0000","0 %","0.0000","100 %","0000010000"
"12/1/2023 11:30:00 PM - 12:30:00 AM","45261.7916666667","49 %","49.0000","4,007 MB","4202087082.6667","0 %","0.0000","100 %","0000010000"
"12/2/2023 12:30:00 AM - 1:30:00 AM","45261.8333333333","49 %","48.6667","4,017 MB","4211747498.6667","0 %","0.0000","100 %","0000010000"
"12/2/2023 1:30:00 AM - 2:30:00 AM","45261.8750000000","47 %","47.0000","3,863 MB","4050789717.3333","0 %","0.0000","100 %","0000010000"
"12/2/2023 2:30:00 AM - 3:30:00 AM","45261.9166666667","48 %","48.5000","3,972 MB","4164743168.0000","0 %","0.0000","100 %","0000010000"
"12/2/2023 3:30:00 AM - 4:30:00 AM","45261.9583333333","49 %","48.6667","3,981 MB","4174495744.0000","0 %","0.0000","100 %","0000010000"
"12/2/2023 4:30:00 AM - 5:30:00 AM","45262.0000000000","48 %","48.1667","3,954 MB","4145782784.0000","0 %","0.0000","100 %","0000010000"
"12/2/2023 5:30:00 AM - 6:30:00 AM","45262.0416666667","48 %","48.1667","3,950 MB","4141703850.6667","0 %","0.0000","100 %","0000010000"
"12/2/2023 6:30:00 AM - 7:30:00 AM","45262.0833333333","48 %","48.0000","3,954 MB","4146064822.8571","0 %","0.0000","100 %","0000010000"
"12/2/2023 7:30:00 AM - 8:30:00 AM","45262.1250000000","48 %","48.0000","3,945 MB","4136665088.0000","0 %","0.0000","100 %","0000010000"
"12/2/2023 8:30:00 AM - 9:30:00 AM","45262.1666666667","48 %","48.3333","3,969 MB","4161398784.0000","0 %","0.0000","100 %","0000010000"
"12/2/2023 9:30:00 AM - 10:30:00 AM","45262.2083333333","49 %","49.0000","4,030 MB","4226222762.6667","0 %","0.0000","100 %","0000010000"
"12/2/2023 10:30:00 AM - 11:30:00 AM","45262.2500000000","49 %","49.0000","4,026 MB","4221457066.6667","0 %","0.0000","100 %","0000010000"
"12/2/2023 11:30:00 AM - 12:30:00 PM","45262.2916666667","49 %","49.0000","4,025 MB","4220270592.0000","0 %","0.0000","100 %","0000010000"
"12/2/2023 12:30:00 PM - 1:30:00 PM","45262.3333333333","49 %","49.0000","4,029 MB","4224507904.0000","0 %","0.0000","100 %","0000010000"
"12/2/2023 1:30:00 PM - 2:30:00 PM","45262.3750000000","49 %","49.0000","4,025 MB","4220768938.6667","0 %","0.0000","100 %","0000010000"
"12/2/2023 2:30:00 PM - 3:30:00 PM","45262.4166666667","49 %","49.3333","4,050 MB","4246497280.0000","0 %","0.0000","100 %","0000010000"
"12/2/2023 3:30:00 PM - 4:30:00 PM","45262.4583333333","50 %","50.0000","4,103 MB","4302133930.6667","0 %","0.0000","100 %","0000010000"
"12/2/2023 4:30:00 PM - 5:30:00 PM","45262.5000000000","50 %","50.0000","4,093 MB","4291927381.3333","0 %","0.0000","100 %","0000010000"
"12/2/2023 5:30:00 PM - 6:30:00 PM","45262.5416666667","50 %","50.0000","4,092 MB","4290824192.0000","0 %","0.0000","100 %","0000010000"
"12/2/2023 6:30:00 PM - 7:30:00 PM","45262.5833333333","50 %","50.0000","4,091 MB","4289396053.3333","0 %","0.0000","100 %","0000010000"
"12/2/2023 7:30:00 PM - 8:30:00 PM","45262.6250000000","50 %","50.0000","4,087 MB","4285414058.6667","0 %","0.0000","100 %","0000010000"
"12/2/2023 8:30:00 PM - 9:30:00 PM","45262.6666666667","51 %","50.6667","4,141 MB","4342584661.3333","0 %","0.0000","100 %","0000010000"
"12/2/2023 9:30:00 PM - 10:30:00 PM","45262.7083333333","51 %","51.0000","4,176 MB","4379016533.3333","0 %","0.0000","100 %","0000010000"
"12/2/2023 10:30:00 PM - 11:30:00 PM","45262.7500000000","51 %","51.0000","4,172 MB","4374135466.6667","0 %","0.0000","100 %","0000010000"
"12/2/2023 11:30:00 PM - 12:30:00 AM","45262.7916666667","51 %","51.0000","4,163 MB","4365619882.6667","0 %","0.0000","100 %","0000010000"
"12/3/2023 12:30:00 AM - 1:30:00 AM","45262.8333333333","51 %","51.0000","4,167 MB","4369218901.3333","0 %","0.0000","100 %","0000010000"
"12/3/2023 1:30:00 AM - 2:30:00 AM","45262.8750000000","52 %","51.6667","4,227 MB","4432529408.0000","0 %","0.0000","100 %","0000010000"
"12/3/2023 2:30:00 AM - 3:30:00 AM","45262.9166666667","52 %","52.0000","4,256 MB","4462732629.3333","0 %","0.0000","100 %","0000010000"
"12/3/2023 3:30:00 AM - 4:30:00 AM","45262.9583333333","52 %","52.0000","4,255 MB","4461671082.6667","0 %","0.0000","100 %","0000010000"
"12/3/2023 4:30:00 AM - 5:30:00 AM","45263.0000000000","52 %","52.0000","4,257 MB","4463621461.3333","0 %","0.0000","100 %","0000010000"
"12/3/2023 5:30:00 AM - 6:30:00 AM","45263.0416666667","52 %","52.0000","4,264 MB","4471216810.6667","0 %","0.0000","100 %","0000010000"
"12/3/2023 6:30:00 AM - 7:30:00 AM","45263.0833333333","52 %","52.0000","4,250 MB","4456415232.0000","0 %","0.0000","100 %","0000010000"
"12/3/2023 7:30:00 AM - 8:30:00 AM","45263.1250000000","52 %","52.0000","4,256 MB","4462982485.3333","0 %","0.0000","100 %","0000010000"
"12/3/2023 8:30:00 AM - 9:30:00 AM","45263.1666666667","52 %","52.0000","4,255 MB","4462068394.6667","0 %","0.0000","100 %","0000010000"
"12/3/2023 9:30:00 AM - 10:30:00 AM","45263.2083333333","53 %","52.6667","4,312 MB","4520963413.3333","0 %","0.0000","100 %","0000010000"
"12/3/2023 10:30:00 AM - 11:30:00 AM","45263.2500000000","54 %","53.8333","4,409 MB","4622909440.0000","0 %","0.0000","100 %","0000010000"
"12/3/2023 11:30:00 AM - 12:30:00 PM","45263.2916666667","54 %","53.8333","4,406 MB","4619593728.0000","0 %","0.0000","100 %","0000010000"
"12/3/2023 12:30:00 PM - 1:30:00 PM","45263.3333333333","54 %","53.8333","4,402 MB","4615675221.3333","0 %","0.0000","100 %","0000010000"
